TS_Machine,bvp
1555571833.85343,2.956268
1555571833.86906,4.536307
1555571833.88468,5.636919
1555571833.90031,6.426844
1555571833.91594,7.034723
1555571833.93156,7.49128
1555571833.94719,7.739984
1555571833.96281,7.736696
1555571833.97844,7.498571
1555571833.99406,7.103402
1555571834.00969,6.65093
1555571834.02532,6.230121
1555571834.04094,5.879617
1555571834.05657,5.635627
1555571834.07219,5.567964
1555571834.08782,5.731044
1555571834.10344,6.175265
1555571834.11907,6.849738
1555571834.1347,7.598098
1555571834.15032,8.219044
1555571834.16595,8.555464
1555571834.18157,8.562497
1555571834.1972,8.298903
1555571834.21282,7.87062
1555571834.22845,7.319193
1555571834.24408,6.621572
1555571834.2597,5.7179
1555571834.27533,4.589475
1555571834.29095,3.329628
1555571834.30658,2.132563
1555571834.3222,1.161661
1555571834.33783,0.4893169
1555571834.35346,0.03308105
1555571834.36908,-0.3824596
1555571834.38471,-0.9312592
1555571834.40033,-1.689045
1555571834.41596,-2.643593
1555571834.43158,-3.697996
1555571834.44721,-4.773186
1555571834.46284,-5.816055
1555571834.47846,-6.804756
1555571834.49409,-7.754364
1555571834.50971,-8.682953
1555571834.52534,-9.605736
1555571834.54096,-10.58893
1555571834.55659,-11.7397
1555571834.57222,-13.10585
1555571834.58784,-14.68974
1555571834.60347,-16.3238
1555571834.61909,-17.68252
1555571834.63472,-18.35842
1555571834.65034,-18.00076
1555571834.66597,-16.4483
1555571834.6816,-13.81908
1555571834.69722,-10.51869
1555571834.71285,-7.084314
1555571834.72847,-3.989786
1555571834.7441,-1.529692
1555571834.75972,0.2887592
1555571834.77535,1.643982
1555571834.79098,2.756441
1555571834.8066,3.791166
1555571834.82223,4.772009
1555571834.83785,5.623367
1555571834.85348,6.237686
1555571834.8691,6.549377
1555571834.88473,6.574966
1555571834.90036,6.404194
1555571834.91598,6.149681
1555571834.93161,5.930107
1555571834.94723,5.805359
1555571834.96286,5.78513
1555571834.97848,5.863419
1555571834.99411,6.033546
1555571835.00974,6.286236
1555571835.02536,6.64423
1555571835.04099,7.10788
1555571835.05661,7.643929
1555571835.07224,8.175114
1555571835.08786,8.606655
1555571835.10349,8.828106
1555571835.11912,8.764008
1555571835.13474,8.367626
1555571835.15037,7.597218
1555571835.16599,6.448837
1555571835.18162,4.978073
1555571835.19724,3.306103
1555571835.21287,1.611774
1555571835.2285,0.1206017
1555571835.24412,-0.973259
1555571835.25975,-1.595535
1555571835.27537,-1.815441
1555571835.291,-1.858829
1555571835.30662,-1.977798
1555571835.32225,-2.370777
1555571835.33788,-3.100304
1555571835.3535,-4.080387
1555571835.36913,-5.138569
1555571835.38475,-6.139408
1555571835.40038,-7.040974
1555571835.416,-7.903954
1555571835.43163,-8.850323
1555571835.44726,-9.961346
1555571835.46288,-11.2518
1555571835.47851,-12.67839
1555571835.49413,-14.20369
1555571835.50976,-15.80878
1555571835.52539,-17.45606
1555571835.54101,-19.01397
1555571835.55664,-20.21926
1555571835.57226,-20.74091
1555571835.58789,-20.31751
1555571835.60351,-18.8999
1555571835.61914,-16.68501
1555571835.63477,-14.01867
1555571835.65039,-11.2032
1555571835.66602,-8.405842
1555571835.68164,-5.611229
1555571835.69727,-2.79108
1555571835.71289,-0.03386688
1555571835.72852,2.40662
1555571835.74415,4.200054
1555571835.75977,5.141468
1555571835.7754,5.271725
1555571835.79102,4.903069
1555571835.80665,4.433823
1555571835.82227,4.191399
1555571835.8379,4.295296
1555571835.85353,4.671017
1555571835.86915,5.182072
1555571835.88478,5.688641
1555571835.9004,6.132977
1555571835.91603,6.502499
1555571835.93165,6.81419
1555571835.94728,7.070782
1555571835.96291,7.289089
1555571835.97853,7.472855
1555571835.99416,7.605873
1555571836.00978,7.668701
1555571836.02541,7.611179
1555571836.04103,7.437355
1555571836.05666,7.178829
1555571836.07229,6.907879
1555571836.08791,6.651192
1555571836.10354,6.36718
1555571836.11916,5.936813
1555571836.13479,5.242844
1555571836.15041,4.264751
1555571836.16604,3.113991
1555571836.18167,2.001377
1555571836.19729,1.094723
1555571836.21292,0.469471
1555571836.22854,0.03370285
1555571836.24417,-0.3756866
1555571836.25979,-0.9449921
1555571836.27542,-1.78548
1555571836.29105,-2.927906
1555571836.30667,-4.292728
1555571836.3223,-5.729935
1555571836.33792,-7.067951
1555571836.35355,-8.167328
1555571836.36917,-9.004837
1555571836.3848,-9.69376
1555571836.40043,-10.43152
1555571836.41605,-11.42069
1555571836.43168,-12.74071
1555571836.4473,-14.29584
1555571836.46293,-15.83785
1555571836.47855,-17.07359
1555571836.49418,-17.75751
1555571836.50981,-17.755
1555571836.52543,-17.00202
1555571836.54106,-15.47258
1555571836.55668,-13.19185
1555571836.57231,-10.24753
1555571836.58793,-6.891388
1555571836.60356,-3.454508
1555571836.61919,-0.3178482
1555571836.63481,2.257092
1555571836.65044,4.213648
1555571836.66606,5.724461
1555571836.68169,7.042294
1555571836.69731,8.344797
1555571836.71294,9.633587
1555571836.72857,10.69051
1555571836.74419,11.24177
1555571836.75982,11.10622
1555571836.77544,10.35847
1555571836.79107,9.292957
1555571836.80669,8.345478
1555571836.82232,7.875044
1555571836.83795,7.994038
1555571836.85357,8.604431
1555571836.8692,9.451694
1555571836.88482,10.28052
1555571836.90045,10.95276
1555571836.91607,11.45497
1555571836.9317,11.81526
1555571836.94733,12.02673
1555571836.96295,12.04494
1555571836.97858,11.79079
1555571836.9942,11.26363
1555571837.00983,10.51543
1555571837.02545,9.648602
1555571837.04108,8.726665
1555571837.05671,7.762396
1555571837.07233,6.729936
1555571837.08796,5.603151
1555571837.10358,4.434288
1555571837.11921,3.322809
1555571837.13483,2.364599
1555571837.15046,1.589548
1555571837.16609,0.9343987
1555571837.18171,0.2602291
1555571837.19734,-0.5622206
1555571837.21296,-1.581329
1555571837.22859,-2.729716
1555571837.24421,-3.894452
1555571837.25984,-5.013791
1555571837.27547,-6.122375
1555571837.29109,-7.356958
1555571837.30672,-8.863958
1555571837.32234,-10.69352
1555571837.33797,-12.73189
1555571837.35359,-14.71612
1555571837.36922,-16.34667
1555571837.38485,-17.37713
1555571837.40047,-17.68477
1555571837.4161,-17.25766
1555571837.43172,-16.13574
1555571837.44735,-14.37323
