TS_Machine,ax,ay,az
1555581064.76636,-36,-8,-27
1555581064.79761,-37,12,-20
1555581064.82886,-32,39,-16
1555581064.86011,-24,35,-14
1555581064.89136,-14,24,-13
1555581064.92261,-18,9,-10
1555581064.95386,-28,-47,4
1555581064.98512,-43,-79,-4
1555581065.01637,-44,-128,-16
1555581065.04762,-50,-128,-11
1555581065.07887,-45,-108,8
1555581065.11012,-15,-71,12
1555581065.14137,-7,-53,10
1555581065.17262,-2,-31,-1
1555581065.20388,-2,-21,1
1555581065.23513,1,-17,8
1555581065.26638,7,-23,4
1555581065.29763,6,-42,-4
1555581065.32888,-7,-61,-11
1555581065.36013,-21,-95,-11
1555581065.39138,-21,-105,-8
1555581065.42264,-26,-111,-7
1555581065.45389,-23,-106,-3
1555581065.48514,-27,-81,8
1555581065.51639,-30,-53,-5
1555581065.54764,-26,-38,-6
1555581065.57889,-20,-9,-4
1555581065.61014,-18,-9,-4
1555581065.6414,-29,-21,-5
1555581065.67265,-34,-24,-8
1555581065.7039,-43,-44,-5
1555581065.73515,-47,-59,-8
1555581065.7664,-41,-109,-4
1555581065.79765,-46,-106,3
1555581065.8289,-59,-89,15
1555581065.86016,-57,-80,19
1555581065.89141,-31,-57,12
1555581065.92266,-3,-35,2
1555581065.95391,-1,-24,3
1555581065.98516,0,-25,9
1555581066.01641,6,-34,4
1555581066.04766,9,-45,-2
1555581066.07892,-11,-57,-1
1555581066.11017,-38,-89,-17
1555581066.14142,-27,-98,-11
1555581066.17267,-14,-104,4
1555581066.20392,-24,-100,-2
1555581066.23517,-33,-71,-3
1555581066.26642,-31,-51,-1
1555581066.29768,-15,-10,-7
1555581066.32893,-10,23,-11
1555581066.36018,-10,29,-16
1555581066.39143,-32,14,-34
1555581066.42268,-54,7,-38
1555581066.45393,-89,-17,-50
1555581066.48519,-105,-34,-60
1555581066.51644,-120,-64,-87
1555581066.54769,-115,-58,-85
1555581066.57894,-86,-51,-60
1555581066.61019,-69,-52,-49
1555581066.64144,-32,-37,-27
1555581066.67269,-15,-26,-20
1555581066.70395,2,-21,-6
1555581066.7352,5,-52,-13
1555581066.76645,14,-73,-31
1555581066.7977,-38,-84,-71
1555581066.82895,-53,-99,-84
1555581066.8602,-128,-82,-128
1555581066.89145,-128,-49,-128
1555581066.92271,-128,2,-70
1555581066.95396,-90,2,-43
1555581066.98521,-28,0,-26
1555581067.01646,-6,7,-12
1555581067.04771,12,22,0
1555581067.07896,19,37,2
1555581067.11021,8,48,2
1555581067.14147,-11,35,-3
1555581067.17272,-100,29,-36
1555581067.20397,-128,-7,-44
1555581067.23522,-128,-21,-62
1555581067.26647,-128,-24,-60
1555581067.29772,-122,-26,-52
1555581067.32897,-66,-36,-40
1555581067.36023,-38,-36,-35
1555581067.39148,-2,-34,-20
1555581067.42273,5,-31,-15
1555581067.45398,4,-37,2
1555581067.48523,1,-42,3
1555581067.51648,-5,-51,-7
1555581067.54773,-73,-50,-34
1555581067.57899,-101,-70,-57
1555581067.61024,-128,-75,-92
1555581067.64149,-128,-55,-86
1555581067.67274,-128,-17,-64
1555581067.70399,-95,-6,-37
1555581067.73524,-56,-14,-16
1555581067.76649,-31,-5,-9
1555581067.79775,-9,30,5
1555581067.829,-1,53,11
1555581067.86025,4,67,3
1555581067.8915,-5,48,-3
1555581067.92275,-64,38,-32
1555581067.954,-83,37,-32
1555581067.98525,-123,15,-35
1555581068.01651,-128,-19,-66
1555581068.04776,-128,-23,-65
1555581068.07901,-115,-6,-45
1555581068.11026,-75,-10,-40
1555581068.14151,-9,-36,-40
1555581068.17276,-5,-47,-30
1555581068.20401,-12,-42,-16
1555581068.23527,-14,-47,-8
1555581068.26652,-14,-62,-15
1555581068.29777,-11,-64,-21
1555581068.32902,-96,-53,-34
1555581068.36027,-95,-63,-36
1555581068.39152,-128,-42,-86
1555581068.42277,-128,7,-75
1555581068.45403,-128,9,-57
1555581068.48528,-66,5,-24
1555581068.51653,-45,7,-14
1555581068.54778,-5,22,-4
1555581068.57903,4,37,1
1555581068.61028,14,48,8
1555581068.64154,10,42,2
1555581068.67279,-50,37,-8
1555581068.70404,-106,36,-18
1555581068.73529,-128,7,-62
1555581068.76654,-128,-41,-57
1555581068.79779,-128,-32,-71
1555581068.82904,-82,-50,-42
1555581068.8603,-60,-50,-36
1555581068.89155,-9,-33,-17
1555581068.9228,4,-28,-10
1555581068.95405,15,-23,6
1555581068.9853,11,-31,5
1555581069.01655,12,-60,-18
1555581069.0478,-11,-65,-29
1555581069.07906,-98,-90,-65
1555581069.11031,-128,-99,-100
1555581069.14156,-128,-54,-87
1555581069.17281,-128,-38,-81
1555581069.20406,-87,-8,-52
1555581069.23531,-52,8,-24
1555581069.26656,-32,17,-16
1555581069.29782,-6,49,1
1555581069.32907,1,55,36
1555581069.36032,-1,57,12
1555581069.39157,-29,49,-2
1555581069.42282,-64,44,-26
1555581069.45407,-114,35,-68
1555581069.48532,-128,-27,-128
1555581069.51658,-116,-48,-128
1555581069.54783,-73,-46,-110
1555581069.57908,-45,-47,-88
1555581069.61033,4,-42,-46
1555581069.64158,17,-37,-22
1555581069.67283,24,-24,-12
1555581069.70408,43,-25,17
1555581069.73534,30,-29,10
1555581069.76659,-16,-58,-66
1555581069.79784,-76,-77,-69
1555581069.82909,-128,-70,-108
1555581069.86034,-128,-50,-116
1555581069.89159,-128,-7,-77
1555581069.92284,-111,9,-56
1555581069.9541,-66,13,-29
1555581069.98535,-48,12,-24
1555581070.0166,14,18,7
1555581070.04785,2,38,6
1555581070.0791,-11,44,16
1555581070.11035,-18,34,2
1555581070.1416,-44,33,-29
1555581070.17286,-108,34,-83
1555581070.20411,-124,11,-88
1555581070.23536,-128,-21,-128
1555581070.26661,-126,-26,-111
1555581070.29786,-63,-33,-59
1555581070.32911,-33,-34,-42
1555581070.39162,8,-35,-19
1555581070.36036,8,-39,-20
1555581070.42287,9,-34,2
1555581070.45412,11,-36,4
1555581070.48537,-15,-51,-8
1555581070.51662,-51,-62,-46
1555581070.54787,-81,-77,-72
1555581070.57912,-128,-89,-128
1555581070.61038,-128,-72,-128
1555581070.64163,-97,-30,-103
1555581070.67288,-75,-15,-87
1555581070.70413,-50,7,-44
1555581070.73538,-34,16,-24
1555581070.76663,-3,38,-4
1555581070.79788,3,52,6
1555581070.82914,11,52,11
1555581070.86039,-6,38,-16
1555581070.89164,-39,41,-36
1555581070.92289,-81,45,-17
1555581070.95414,-102,22,-49
1555581070.98539,-128,10,-128
1555581071.01664,-128,-2,-128
1555581071.0479,-124,-31,-88
1555581071.07915,-65,-52,-61
1555581071.1104,-13,-75,-29
1555581071.14165,-7,-82,-21
1555581071.1729,10,-62,-2
1555581071.20415,9,-54,7
1555581071.2354,-2,-40,-6
1555581071.26666,-66,-51,-44
1555581071.29791,-119,-81,-85
1555581071.32916,-128,-57,-128
1555581071.36041,-128,-25,-120
1555581071.39166,-105,14,-55
1555581071.42291,-74,18,-34
1555581071.45417,-26,35,0
1555581071.48542,-5,39,8
1555581071.51667,7,40,3
1555581071.54792,11,37,1
1555581071.57917,-3,36,-23
1555581071.61042,-15,38,-21
1555581071.64167,-57,38,-30
1555581071.67293,-82,17,-58
1555581071.70418,-128,17,-115
1555581071.73543,-128,-2,-46
1555581071.76668,-119,-20,-38
1555581071.79793,-55,-35,-45
1555581071.82918,-25,-45,-34
1555581071.86043,3,-57,-15
1555581071.89169,14,-53,-10
1555581071.92294,22,-48,-3
1555581071.95419,13,-50,-5
1555581071.98544,-21,-60,-15
1555581072.01669,-87,-78,-57
1555581072.04794,-128,-59,-126
1555581072.07919,-128,-43,-96
1555581072.11045,-117,-20,-75
1555581072.1417,-43,7,-44
1555581072.17295,-28,10,-30
1555581072.2042,-9,23,-19
1555581072.23545,3,35,-13
1555581072.2667,6,63,11
1555581072.29795,8,60,15
1555581072.32921,-8,42,3
1555581072.36046,-46,46,-17
1555581072.39171,-128,29,-55
1555581072.42296,-128,9,-68
1555581072.45421,-128,-10,-62
1555581072.48546,-128,7,-72
1555581072.51671,-74,-47,-59
1555581072.54797,-24,-68,-48
1555581072.57922,-12,-61,-43
1555581072.61047,-1,-57,-35
1555581072.64172,19,-56,-18
1555581072.67297,23,-45,11
1555581072.70422,-5,-46,16
1555581072.73547,-128,-81,3
1555581072.76673,-128,-89,-10
1555581072.79798,-128,-51,-4
1555581072.82923,-128,-31,-1
1555581072.86048,-86,-2,4
1555581072.89173,-55,2,2
1555581072.92298,-18,24,-8
1555581072.95423,-4,50,9
1555581072.98549,4,58,25
1555581073.01674,4,35,12
1555581073.04799,-11,35,5
1555581073.07924,-81,32,-31
1555581073.11049,-115,23,-51
1555581073.14174,-128,-41,-87
1555581073.17299,-128,-62,-100
1555581073.20425,-115,-40,-72
1555581073.2355,-95,-49,-55
1555581073.26675,-35,-44,-34
1555581073.298,-11,-43,-24
1555581073.32925,6,-32,-11
1555581073.3605,8,-26,-2
1555581073.39175,12,-33,7
1555581073.42301,12,-62,-9
1555581073.45426,-22,-76,-21
1555581073.48551,-128,-112,-90
1555581073.51676,-128,-99,-110
1555581073.54801,-128,-50,-59
1555581073.57926,-114,-34,-44
1555581073.61051,-70,-8,-14
1555581073.64177,-47,4,-2
1555581073.67302,-11,38,2
1555581073.70427,2,62,2
1555581073.73552,14,69,5
1555581073.76677,-5,31,-2
1555581073.79802,-45,31,-12
1555581073.82928,-101,15,-27
1555581073.86053,-101,-6,-24
1555581073.89178,-128,-62,-104
1555581073.92303,-128,-65,-103
1555581073.95428,-87,-49,-60
1555581073.98553,-61,-48,-47
1555581074.01678,-25,-47,-32
1555581074.04804,-12,-41,-22
1555581074.07929,12,-27,-11
1555581074.11054,22,-38,-10
1555581074.14179,3,-75,-26
1555581074.17304,-31,-95,-53
1555581074.20429,-75,-101,-82
1555581074.23554,-115,-100,-127
1555581074.2668,-115,-89,-128
1555581074.29805,-104,-39,-101
1555581074.3293,-81,-15,-76
1555581074.36055,-31,25,-23
1555581074.3918,-19,38,-11
1555581074.42305,-8,54,3
1555581074.4543,-6,59,8
1555581074.48556,-12,36,2
1555581074.51681,-29,30,-9
1555581074.54806,-79,19,-22
1555581074.57931,-89,-18,-29
1555581074.61056,-128,-30,-99
1555581074.64181,-118,-86,-128
1555581074.67306,-95,-81,-122
1555581074.70432,-38,-58,-74
1555581074.73557,-18,-52,-54
1555581074.76682,3,-43,-26
1555581074.79807,11,-28,-16
1555581074.82932,22,-11,1
1555581074.86057,10,-14,-4
1555581074.89182,33,-47,-13
1555581074.92308,59,-66,-1
1555581074.95433,-72,-112,6
1555581074.98558,-128,-98,-81
1555581075.01683,-128,-57,-60
1555581075.04808,-77,-27,-12
1555581075.07933,-59,-12,-8
1555581075.11058,-39,13,-2
1555581075.14184,-22,25,11
1555581075.17309,5,40,23
1555581075.20434,17,38,27
1555581075.23559,8,34,15
1555581075.26684,-29,44,-6
1555581075.29809,-120,33,-31
1555581075.32934,-128,15,-25
1555581075.3606,-128,-27,-66
1555581075.39185,-128,-47,-87
1555581075.4231,-108,-49,-62
1555581075.45435,-37,-45,-36
1555581075.4856,-25,-44,-33
1555581075.51685,2,-57,-6
1555581075.5481,16,-41,2
1555581075.57936,39,-38,-6
1555581075.61061,33,-31,-10
1555581075.64186,-51,-51,-33
1555581075.67311,-108,-76,-75
1555581075.70436,-128,-80,-97
1555581075.73561,-128,-67,-89
1555581075.76686,-124,-36,-79
1555581075.79812,-75,-9,-32
1555581075.82937,-61,2,-17
1555581075.86062,-27,23,0
1555581075.89187,-19,36,7
1555581075.92312,-12,57,13
1555581075.95437,-15,47,5
1555581075.98563,-58,33,-10
1555581076.01688,-81,32,-16
1555581076.04813,-80,18,-2
1555581076.07938,-113,-9,-35
1555581076.11063,-128,-63,-119
1555581076.14188,-128,-54,-98
1555581076.17313,-86,-35,-53
1555581076.20439,-53,-34,-39
1555581076.23564,-11,-34,-8
1555581076.26689,-26,-44,30
1555581076.29814,-16,-53,35
1555581076.32939,37,-73,25
1555581076.36064,18,-78,4
1555581076.39189,-108,-73,-47
1555581076.42315,-128,-85,-81
