TS_Machine,gsr
1555570917.098,3.96728
1555570917.348,4.00827
1555570917.598,4.072317
1555570917.848,4.133803
1555570918.098,4.172231
1555570918.348,4.188883
1555570918.598,4.181198
1555570918.848,4.164546
1555570919.098,4.14405
1555570919.348,4.110746
1555570919.598,4.082565
1555570919.848,4.059508
1555570920.098,4.03517
1555570920.348,4.015956
1555570920.598,4.001865
1555570920.848,3.985213
1555570921.098,3.965999
1555570921.348,3.957032
1555570921.598,3.946785
1555570921.848,3.939099
1555570922.098,3.932694
1555570922.348,3.928851
1555570922.598,3.922447
1555570922.848,3.916042
1555570923.098,3.912199
1555570923.348,3.921166
1555570923.598,3.951908
1555570923.848,4.017237
1555570924.098,4.085127
1555570924.348,4.127398
1555570924.598,4.151736
1555570924.848,4.154298
1555570925.098,4.149174
1555570925.348,4.131241
1555570925.598,4.11587
1555570925.848,4.096655
1555570926.098,4.081284
1555570926.348,4.067194
1555570926.598,4.04926
1555570926.848,4.032608
1555570927.098,4.02236
1555570927.348,4.00827
1555570927.598,3.995461
1555570927.848,3.990337
1555570928.098,3.980089
1555570928.348,3.971123
1555570928.598,3.959594
1555570928.848,3.958313
1555570929.098,3.951908
1555570929.348,3.939099
1555570929.598,3.939099
1555570929.848,3.933975
1555570930.098,3.92629
1555570930.348,3.918604
1555570930.598,3.916042
1555570930.848,3.909637
1555570931.098,3.904513
1555570931.348,3.901952
1555570931.598,3.898109
1555570931.848,3.891704
1555570932.098,3.894266
1555570932.348,3.884018
1555570932.598,3.877614
1555570932.848,3.878895
1555570933.098,3.873771
1555570933.348,3.868647
1555570933.598,3.875052
1555570933.848,3.887861
1555570934.098,3.892985
1555570934.348,3.89939
1555570934.598,3.905794
1555570934.848,3.898109
1555570935.098,3.88658
1555570935.348,3.878895
1555570935.598,3.871209
1555570935.848,3.860961
1555570936.098,3.84559
1555570936.348,3.843028
1555570936.598,3.836623
1555570936.848,3.840466
1555570937.098,3.878895
1555570937.348,3.942942
1555570937.598,3.989056
1555570937.848,4.027484
1555570938.098,4.040294
1555570938.348,4.046699
1555570938.598,4.091531
1555570938.848,4.201693
1555570939.098,4.329787
1555570939.348,4.448915
1555570939.598,4.556425
1555570939.848,4.612786
1555570940.098,4.620471
1555570940.348,4.61791
1555570940.598,4.593572
1555570940.848,4.562829
1555570941.098,4.517996
1555570941.348,4.474444
1555570941.598,4.434735
1555570941.848,4.396306
1555570942.098,4.375811
1555570942.348,4.377092
1555570942.598,4.477006
1555570942.848,4.556425
1555570943.098,4.621753
1555570943.348,4.692204
1555570943.598,4.728071
1555570943.848,4.7665
1555570944.098,4.75369
1555570944.348,4.783152
1555570944.598,4.778028
1555570944.848,4.774185
1555570945.098,4.784433
1555570945.348,4.804928
1555570945.598,4.822861
1555570945.848,4.827985
1555570946.098,4.803647
1555570946.348,4.803647
1555570946.598,4.737038
1555570946.848,4.762657
1555570947.098,4.412959
1555570947.348,4.621753
1555570947.598,3.850624
1555570947.848,3.976246
1555570948.098,4.328506
1555570948.348,4.593662
1555570948.598,4.48341
1555570948.848,4.589729
1555570949.098,4.623034
1555570949.348,4.582043
1555570949.598,4.911246
1555570949.848,5.027812
1555570950.098,5.0657
1555570950.348,5.082352
1555570950.598,5.069542
1555570950.848,5.043923
1555570951.098,5.023428
1555570951.348,5.002933
1555570951.598,4.967067
1555570951.848,4.928638
1555570952.098,4.895334
1555570952.348,4.867153
1555570952.598,4.844096
1555570952.848,4.818477
1555570953.098,4.789015
1555570953.348,4.772363
1555570953.598,4.753149
1555570953.848,4.737777
1555570954.098,4.722406
1555570954.348,4.708315
1555570954.598,4.696787
1555570954.848,4.692944
1555570955.098,4.68654
1555570955.348,4.669887
1555570955.598,4.660921
1555570955.848,4.657078
1555570956.098,4.649392
1555570956.348,4.637864
1555570956.598,4.637864
1555570956.848,4.635302
1555570957.098,4.621212
1555570957.348,4.61993
