TS_Machine,tmp
1555581622.77737,34.87
1555581623.02738,34.89
1555581623.27739,34.89
1555581623.5274,34.89
1555581623.77741,34.89
1555581624.02742,34.87
1555581624.27744,34.87
1555581624.52745,34.87
1555581624.77746,34.87
1555581625.02747,34.89
1555581625.27748,34.89
1555581625.52749,34.89
1555581625.77751,34.89
1555581626.02752,34.87
1555581626.27753,34.87
1555581626.52754,34.87
1555581626.77755,34.87
1555581627.02756,34.87
1555581627.27758,34.87
1555581627.52759,34.87
1555581627.7776,34.87
1555581628.02761,34.87
1555581628.27762,34.87
1555581628.52763,34.87
1555581628.77764,34.87
1555581629.02766,34.89
1555581629.27767,34.89
1555581629.52768,34.89
1555581629.77769,34.89
1555581630.0277,34.89
1555581630.27771,34.89
1555581630.52773,34.89
1555581630.77774,34.89
1555581631.02775,34.91
1555581631.27776,34.91
1555581631.52777,34.91
1555581631.77778,34.91
1555581632.02779,34.89
1555581632.27781,34.89
1555581632.52782,34.89
1555581632.77783,34.89
1555581633.02784,34.89
1555581633.27785,34.89
1555581633.52786,34.89
1555581633.77788,34.89
1555581634.02789,34.91
1555581634.2779,34.91
1555581634.52791,34.91
1555581634.77792,34.91
1555581635.02793,34.91
1555581635.27795,34.91
1555581635.52796,34.91
1555581635.77797,34.91
1555581636.02798,34.93
1555581636.27799,34.93
1555581636.528,34.93
1555581636.77801,34.93
1555581637.02803,34.91
1555581637.27804,34.91
1555581637.52805,34.91
1555581637.77806,34.91
1555581638.02807,34.93
1555581638.27808,34.93
1555581638.5281,34.93
1555581638.77811,34.93
1555581639.02812,34.93
1555581639.27813,34.93
1555581639.52814,34.93
1555581639.77815,34.93
1555581640.02817,34.91
1555581640.27818,34.91
1555581640.52819,34.91
1555581640.7782,34.91
1555581641.02821,34.93
1555581641.27822,34.93
1555581641.52823,34.93
1555581641.77825,34.93
1555581642.02826,34.95
1555581642.27827,34.95
1555581642.52828,34.95
1555581642.77829,34.95
1555581643.0283,34.95
1555581643.27832,34.95
1555581643.52833,34.95
1555581643.77834,34.95
1555581644.02835,34.97
1555581644.27836,34.97
1555581644.52837,34.97
1555581644.77839,34.97
1555581645.0284,34.95
1555581645.27841,34.95
1555581645.52842,34.95
1555581645.77843,34.95
1555581646.02844,34.95
1555581646.27845,34.95
1555581646.52847,34.95
1555581646.77848,34.95
1555581647.02849,34.95
1555581647.2785,34.95
1555581647.52851,34.95
1555581647.77852,34.95
1555581648.02854,34.95
1555581648.27855,34.95
1555581648.52856,34.95
1555581648.77857,34.95
1555581649.02858,34.95
1555581649.27859,34.95
1555581649.5286,34.95
1555581649.77862,34.95
1555581650.02863,34.97
1555581650.27864,34.97
1555581650.52865,34.97
1555581650.77866,34.97
1555581651.02867,34.95
1555581651.27869,34.95
1555581651.5287,34.95
1555581651.77871,34.95
1555581652.02872,34.97
1555581652.27873,34.97
1555581652.52874,34.97
1555581652.77876,34.97
1555581653.02877,34.95
1555581653.27878,34.95
1555581653.52879,34.95
1555581653.7788,34.95
1555581654.02881,34.97
1555581654.27883,34.97
1555581654.52884,34.97
1555581654.77885,34.97
1555581655.02886,34.95
1555581655.27887,34.95
1555581655.52888,34.95
1555581655.77889,34.95
1555581656.02891,34.97
1555581656.27892,34.97
1555581656.52893,34.97
1555581656.77894,34.97
1555581657.02895,34.95
1555581657.27896,34.95
1555581657.52898,34.95
1555581657.77899,34.95
1555581658.029,34.97
1555581658.27901,34.97
1555581658.52902,34.97
1555581658.77903,34.97
1555581659.02904,34.95
1555581659.27906,34.95
1555581659.52907,34.95
1555581659.77908,34.95
1555581660.02909,34.95
1555581660.2791,34.95
1555581660.52911,34.95
1555581660.77913,34.95
1555581661.02914,34.95
1555581661.27915,34.95
1555581661.52916,34.95
1555581661.77917,34.95
1555581662.02918,34.97
1555581662.2792,34.97
1555581662.52921,34.97
1555581662.77922,34.97
1555581663.02923,34.97
1555581663.27924,34.97
1555581663.52925,34.97
1555581663.77926,34.97
1555581664.02928,34.95
1555581664.27929,34.95
1555581664.5293,34.95
1555581664.77931,34.95
1555581665.02932,34.97
1555581665.27933,34.97
1555581665.52935,34.97
1555581665.77936,34.97
1555581666.02937,34.97
1555581666.27938,34.97
1555581666.52939,34.97
1555581666.7794,34.97
1555581667.02942,34.99
1555581667.27943,34.99
1555581667.52944,34.99
1555581667.77945,34.99
1555581668.02946,34.95
1555581668.27947,34.95
1555581668.52948,34.95
1555581668.7795,34.95
1555581669.02951,34.95
1555581669.27952,34.95
1555581669.52953,34.95
1555581669.77954,34.95
1555581670.02955,34.95
1555581670.27957,34.95
1555581670.52958,34.95
1555581670.77959,34.95
1555581671.0296,34.93
1555581671.27961,34.93
1555581671.52962,34.93
1555581671.77964,34.93
1555581672.02965,34.95
1555581672.27966,34.95
1555581672.52967,34.95
1555581672.77968,34.95
1555581673.02969,34.95
1555581673.2797,34.95
1555581673.52972,34.95
1555581673.77973,34.95
1555581674.02974,34.95
1555581674.27975,34.95
1555581674.52976,34.95
1555581674.77977,34.95
1555581675.02979,34.95
1555581675.2798,34.95
1555581675.52981,34.95
1555581675.77982,34.95
1555581676.02983,34.95
1555581676.27984,34.95
1555581676.52986,34.95
1555581676.77987,34.95
1555581677.02988,34.95
1555581677.27989,34.95
1555581677.5299,34.95
1555581677.77991,34.95
1555581678.02992,34.95
1555581678.27994,34.95
1555581678.52995,34.95
1555581678.77996,34.95
1555581679.02997,34.91
1555581679.27998,34.91
1555581679.52999,34.91
1555581679.78001,34.91
1555581680.03002,34.95
1555581680.28003,34.95
1555581680.53004,34.95
1555581680.78005,34.95
1555581681.03006,34.93
1555581681.28008,34.93
1555581681.53009,34.93
1555581681.7801,34.93
1555581682.03011,34.95
1555581682.28012,34.95
1555581682.53013,34.95
1555581682.78014,34.95
1555581683.03016,34.95
1555581683.28017,34.95
1555581683.53018,34.95
1555581683.78019,34.95
1555581684.0302,34.93
1555581684.28021,34.93
1555581684.53023,34.93
1555581684.78024,34.93
1555581685.03025,34.95
1555581685.28026,34.95
1555581685.53027,34.95
1555581685.78028,34.95
1555581686.03029,34.93
1555581686.28031,34.93
1555581686.53032,34.93
1555581686.78033,34.93
1555581687.03034,34.97
1555581687.28035,34.97
1555581687.78038,34.97
1555581687.53036,34.97
1555581688.03039,34.97
1555581688.2804,34.97
1555581688.53041,34.97
1555581688.78042,34.97
1555581689.03043,34.99
1555581689.28045,34.99
1555581689.53046,34.99
1555581689.78047,34.99
1555581690.03048,34.95
1555581690.28049,34.95
1555581690.5305,34.95
1555581690.78051,34.95
1555581691.03053,34.97
1555581691.28054,34.97
1555581691.53055,34.97
1555581691.78056,34.97
1555581692.03057,34.95
1555581692.28058,34.95
1555581692.5306,34.95
1555581692.78061,34.95
1555581693.03062,34.95
1555581693.28063,34.95
1555581693.53064,34.95
1555581693.78065,34.95
1555581694.03067,34.95
1555581694.28068,34.95
1555581694.53069,34.95
1555581694.7807,34.95
1555581695.03071,34.99
1555581695.28072,34.99
1555581695.53073,34.99
1555581695.78075,34.99
1555581696.03076,34.97
1555581696.28077,34.97
1555581696.53078,34.97
1555581696.78079,34.97
1555581697.0308,34.99
1555581697.28082,34.99
1555581697.53083,34.99
1555581697.78084,34.99
1555581698.03085,34.95
1555581698.28086,34.95
1555581698.53087,34.95
1555581698.78089,34.95
1555581699.0309,34.99
1555581699.28091,34.99
1555581699.53092,34.99
1555581699.78093,34.99
1555581700.03094,34.97
1555581700.28095,34.97
